location_code,sample_type,sample_location,sampling_freq,sampling_date,isotope_name,value,units,graph_value,comment
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-12-07,GROSS BETA,11+/-5,pCi/L,11,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-12-16,GROSS BETA,4+/-1.7,pCi/L,4,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-01-03,GROSS BETA,7+/-6,pCi/L,7,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-01-10,GROSS BETA,<3,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-01-20,GROSS BETA,21+/-13,pCi/L,21,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-01-28,GROSS BETA,<20,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-02-04,GROSS BETA,22+/-13,pCi/L,22,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-02-10,GROSS BETA,11+/-7,pCi/L,11,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-02-18,GROSS BETA,40+/-30,pCi/L,40,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-02-25,GROSS BETA,<8,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-03-04,GROSS BETA,1.8+/-1.3,pCi/L,1.8,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-03-11,GROSS BETA,2.7+/-1.5,pCi/L,2.7,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-03-18,GROSS BETA,1.9+/-1.3,pCi/L,1.9,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-03-25,GROSS BETA,2.5+/-1.4,pCi/L,2.5,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-04-01,GROSS BETA,15+/-11,pCi/L,15,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-04-08,GROSS BETA,3+/-1.7,pCi/L,3,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-04-18,GROSS BETA,2.2+/-1.3,pCi/L,2.2,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-04-25,GROSS BETA,1.4+/-1.2,pCi/L,1.4,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-05-19,GROSS BETA,1.4+/-1.3,pCi/L,1.4,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-06-03,GROSS BETA,<1.2,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-06-13,GROSS BETA,<4,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-07-18,GROSS BETA,6+/-4,pCi/L,6,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-07-28,GROSS BETA,50+/-40,pCi/L,50,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-08-16,GROSS BETA,40+/-30,pCi/L,40,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,WEEKLY,2011-09-06,GROSS BETA,2.8+/-1.6,pCi/L,2.8,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-01-28,POTASSIUM-40,68+/-19,pCi/L,68,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-02-25,POTASSIUM-40,0.9+/-0.3,pCi/L,0.9,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-03-25,POTASSIUM-40,23+/-8,pCi/L,23,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-07-28,POTASSIUM-40,21+/-15,pCi/L,21,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-02-25,RADIUM-224,4+/-1.5,pCi/L,4,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-08-31,RUTHENIUM-106,<8,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-09-29,RUTHENIUM-106,<12,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-10-13,RUTHENIUM-106,<9,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2010-12-17,RUTHENIUM-106,<20,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-01-28,RUTHENIUM-106,<20,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-02-25,RUTHENIUM-106,<20,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-03-25,RUTHENIUM-106,<20,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-04-25,RUTHENIUM-106,<9,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-05-19,RUTHENIUM-106,<16,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-06-13,RUTHENIUM-106,<15,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-07-28,RUTHENIUM-106,<9,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-08-31,TRITIUM (HTO),<90,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-09-29,TRITIUM (HTO),<50,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-10-13,TRITIUM (HTO),<180,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2010-12-17,TRITIUM (HTO),200+/-190,pCi/L,200,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-01-28,TRITIUM (HTO),<150,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-02-25,TRITIUM (HTO),600+/-300,pCi/L,600,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-03-25,TRITIUM (HTO),<90,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-04-25,TRITIUM (HTO),<90,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-05-19,TRITIUM (HTO),<110,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-06-13,TRITIUM (HTO),<110,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-07-28,TRITIUM (HTO),<110,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-08-31,ZIRCONIUM-95,<2,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-09-29,ZIRCONIUM-95,<4,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-10-13,ZIRCONIUM-95,<6,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2010-12-17,ZIRCONIUM-95,<6,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-01-28,ZIRCONIUM-95,<6,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-02-25,ZIRCONIUM-95,<7,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-03-25,ZIRCONIUM-95,<7,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-04-25,ZIRCONIUM-95,<3,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-05-19,ZIRCONIUM-95,<5,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-06-13,ZIRCONIUM-95,<3,pCi/L,0,
5951-002,WATER,HUDSON RIVER AT VERPLANK DOWNSTREAM OF INDIAN PT,MONTHLY,2011-07-28,ZIRCONIUM-95,<1.3,pCi/L,0,LOCATION CODE
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,CESIUM-137,<1.2,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,CESIUM-137,<1.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,CESIUM-137,<1.5,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,CESIUM-137,<0.9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,CESIUM-137,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,CESIUM-137,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,CESIUM-137,<1.1,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,CESIUM-137,<0.9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,CESIUM-137,<1.2,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,CESIUM-137,<0.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,CESIUM-137,<1.2,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,POTASSIUM-40,4.2+/-1.7,pCi/L,4.2,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,POTASSIUM-40,51+/-18,pCi/L,51,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,POTASSIUM-40,52+/-18,pCi/L,52,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,POTASSIUM-40,28+/-15,pCi/L,28,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,RADIUM-224,1+/-0.6,pCi/L,1,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,RADIUM-226,6+/-4,pCi/L,6,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,RUTHENIUM-106,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,RUTHENIUM-106,<14,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,RUTHENIUM-106,<12,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,RUTHENIUM-106,<12,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,RUTHENIUM-106,<7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,RUTHENIUM-106,<6,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,RUTHENIUM-106,<7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,RUTHENIUM-106,<10,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,RUTHENIUM-106,<10,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,RUTHENIUM-106,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,RUTHENIUM-106,<8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,STRONTIUM-89,<8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,STRONTIUM-89,<8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,STRONTIUM-89,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,STRONTIUM-89,<13,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,STRONTIUM-89,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,STRONTIUM-89,<6,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,STRONTIUM-89,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,STRONTIUM-89,<6,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,STRONTIUM-89,<5,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,STRONTIUM-89,<9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,STRONTIUM-89,<7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,STRONTIUM-90,<0.9,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,STRONTIUM-90,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,STRONTIUM-90,<0.6,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,STRONTIUM-90,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,STRONTIUM-90,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,STRONTIUM-90,<0.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,STRONTIUM-90,<1.3,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,STRONTIUM-90,<0.6,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,STRONTIUM-90,<0.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,STRONTIUM-90,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,STRONTIUM-90,<0.8,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,TRITIUM,400+/-200,pCi/L,400,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,TRITIUM,400+/-200,pCi/L,400,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,TRITIUM,400+/-200,pCi/L,400,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,TRITIUM,400+/-300,pCi/L,400,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,TRITIUM,<120,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,TRITIUM,200+/-100,pCi/L,200,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,TRITIUM,210+/-180,pCi/L,210,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,TRITIUM,<70,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,TRITIUM,<110,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,TRITIUM,<300,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,TRITIUM,1200+/-400,pCi/L,1200,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-01-30,ZIRCONIUM-95,<1.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-02-27,ZIRCONIUM-95,<3,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-03-26,ZIRCONIUM-95,<3,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-01,ZIRCONIUM-95,<4,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-05-29,ZIRCONIUM-95,<2,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-06-25,ZIRCONIUM-95,<1.4,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-07-30,ZIRCONIUM-95,<1.7,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-08-27,ZIRCONIUM-95,<3,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-09-24,ZIRCONIUM-95,<2,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-10-29,ZIRCONIUM-95,<3,pCi/L,0,
5941-001,WATER,"HUDSON RIVER, BUCHANAN DISCHARGE",MONTHLY,2012-11-26,ZIRCONIUM-95,<3,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-01-30,CESIUM-137,<1,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-02-27,CESIUM-137,<1.1,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-03-26,CESIUM-137,<0.9,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-01,CESIUM-137,<1.4,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-29,CESIUM-137,<1.2,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-06-25,CESIUM-137,<0.5,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-07-30,CESIUM-137,<0.7,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-08-27,CESIUM-137,<0.6,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-24,CESIUM-137,<0.7,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-27,CESIUM-137,<1,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-10-29,CESIUM-137,<1,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-11-26,CESIUM-137,<0.8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",,2012-06-07,GROSS ALPHA,<1.6,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",,2012-09-27,GROSS ALPHA,<20,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",,2012-06-07,GROSS BETA,5+/-4,pCi/L,5,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",,2012-09-27,GROSS BETA,60+/-40,pCi/L,60,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-03-26,POTASSIUM-40,21+/-9,pCi/L,21,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-07-30,POTASSIUM-40,32+/-12,pCi/L,32,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-08-27,POTASSIUM-40,53+/-18,pCi/L,53,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-24,POTASSIUM-40,35+/-15,pCi/L,35,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-27,POTASSIUM-40,19.5+/-17,pCi/L,19.5,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-10-29,POTASSIUM-40,40+/-20,pCi/L,40,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-11-26,POTASSIUM-40,18.4+/-12,pCi/L,18.4,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-01-30,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-02-27,RUTHENIUM-106,<9,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-03-26,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-01,RUTHENIUM-106,<15,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-29,RUTHENIUM-106,<10,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-06-25,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-07-30,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-08-27,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-24,RUTHENIUM-106,<8,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-27,RUTHENIUM-106,<10,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-10-29,RUTHENIUM-106,<10,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-11-26,RUTHENIUM-106,<9,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-01-30,TRITIUM,130+/-80,pCi/L,130,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-02-27,TRITIUM,<80,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-03-26,TRITIUM,400+/-200,pCi/L,400,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-01,TRITIUM,<120,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-29,TRITIUM,<120,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-06-25,TRITIUM,130+/-100,pCi/L,130,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-07-30,TRITIUM,170+/-80,pCi/L,170,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-08-27,TRITIUM,<70,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-09-24,TRITIUM,120+/-110,pCi/L,120,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-10-29,TRITIUM,<300,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-11-26,TRITIUM,<300,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-01-30,ZIRCONIUM-95,<19,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-02-27,ZIRCONIUM-95,<2,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-03-26,ZIRCONIUM-95,<1.4,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-01,ZIRCONIUM-95,<4,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-05-29,ZIRCONIUM-95,<3,pCi/L,0,
5941-002,WATER,"HUDSON RIVER, BUCHANAN INLET",MONTHLY,2012-06-25,ZIRCONIUM-95,<1.5,pCi/L,0,
