nta_name,borough,nta_code,population,under_5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-29_years,30-34_years,35-39_years,40-44_years,45-49_years,50-54_years,55-59_years,60-64_years,over_65_years,median_age,people_per_acre,households,"less_than_10,000",10000_to_14999,15000_to_24999,25000_to_34999,35000_to_49999,50000_to_74999,75000_to_99999,100000_to_149999,150000_to_199999,200000_or_more,median_income,mean_income
Park Slope-Gowanus,Brooklyn,BK37,67649,4548,3104,2392,2144,3610,8882,9258,7321,5578,4419,3973,3706,3109,5605,35,70.4,31226,1199,703,1026,1265,2640,4320,4257,5554,3791,6471,101784,145160
Parkchester,Bronx,BX46,29821,2014,1868,1649,1778,1806,2526,2577,2291,2255,2296,2273,1988,1565,2935,36,141.5,12464,1286,696,1282,1414,2097,2572,1651,1108,260,98,46747,54137
Pelham Bay-Country Club-City Island,Bronx,BX10,26583,1361,1247,1376,1307,1451,1809,1929,1737,1886,2020,1963,1775,1663,5059,43,29,11536,746,628,1126,1188,1396,1739,1540,2260,483,430,59446,74008
Pelham Parkway,Bronx,BX49,30073,1950,1732,1597,1751,2223,2977,2635,2231,2067,2038,1893,1617,1481,3881,35,56.6,11505,1114,839,1026,1276,1829,1890,1336,1259,591,345,47806,63128
Pomonok-Flushing Heights-Hillcrest,Queens,QN38,34034,1727,1740,1880,3706,2958,2239,2073,1941,2027,2332,2357,2212,1824,5018,37,38.1,11789,1543,708,1473,1070,1174,1977,1249,1598,614,383,48386,64672
Port Richmond,Staten Island,SI28,20191,1492,1470,1440,1585,1554,1483,1410,1314,1502,1404,1301,1144,1042,2050,34,24,6274,787,284,611,454,586,789,932,899,647,285,61952,75882
Prospect Heights,Brooklyn,BK64,19849,1267,767,584,634,1100,2686,3008,2271,1664,1270,1055,1014,889,1640,35,83.6,9334,393,279,805,576,771,1385,1228,1863,910,1124,84323,106989
Prospect Lefferts Gardens-Wingate,Brooklyn,BK60,67459,4205,3803,3854,4321,5041,5832,5098,4538,4461,4588,5103,4372,3713,8530,37,92.9,25936,2857,1819,3290,2990,3706,5112,2662,2149,814,537,42462,56848
Queens Village,Queens,QN34,52504,2981,2937,3360,3899,4004,3683,3508,3289,3691,4026,4107,3517,2991,6511,38,32.6,15941,768,565,1318,1196,1803,2750,2670,2921,1385,565,71313,82648
Queensboro Hill,Queens,QN62,20800,1100,1066,1043,1151,1554,1631,1502,1473,1553,1750,1708,1438,1210,2621,40,34.3,6283,421,179,629,824,793,1506,592,774,284,281,53836,68064
Queensbridge-Ravenswood-Long Island City,Queens,QN68,20030,1304,1273,1291,1568,1656,2068,1628,1399,1426,1349,1254,1005,897,1912,33,37,7423,1350,908,1152,852,805,860,723,448,194,131,28378,46685
Rego Park,Queens,QN18,28260,1437,1214,1172,1204,1597,2193,2297,2162,1942,2061,2160,2120,1959,4742,42,62,12336,999,508,1441,1140,1997,2066,1528,1635,644,378,50871,68849
Richmond Hill,Queens,QN54,62982,4248,4142,4403,4910,5070,5176,4593,4577,4775,4992,4593,3528,2681,5294,34,53.8,17358,1185,795,1499,1609,2207,3627,2474,2514,962,486,58473,70107
Ridgewood,Queens,QN20,69317,4881,4350,4220,4641,5421,6793,6497,5568,5072,4706,4610,3747,2861,5950,33,59.9,23985,2455,1206,2944,2269,3162,4207,3228,3034,876,604,49776,62484
Rosedale,Queens,QN05,25063,1460,1685,1815,2049,1937,1764,1643,1591,1798,2129,1996,1656,1234,2306,36,18.5,7844,250,141,337,541,1004,1237,1191,1746,990,407,83647,92994
Rossville-Woodrow,Staten Island,SI32,20763,1245,1430,1374,1340,1387,1302,1265,1493,1649,1565,1659,1374,1245,2435,39,13.9,7335,428,280,446,441,496,1211,1045,1210,861,917,83743,105312
Rugby-Remsen Village,Brooklyn,BK96,55326,3462,3395,3566,3908,3951,3966,3710,3599,3687,4136,4303,3512,3110,7021,37,73.8,20150,2314,1280,2362,2266,3024,3555,2254,2031,675,389,44027,58085
Schuylerville-Throgs Neck-Edgewater Park,Bronx,BX52,44167,2443,2623,2667,3370,3331,2751,2952,2956,3243,3367,3063,2649,2342,6410,38,21.3,16846,1486,995,1489,995,1579,2541,2570,3209,1077,905,67549,82109
Seagate-Coney Island,Brooklyn,BK21,31965,1926,1979,2247,2799,2445,1819,1685,1639,1784,1970,2119,2000,1829,5724,38,37.5,10864,2781,1226,1711,900,1197,1346,593,617,300,193,23229,43234
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,BK17,64518,3276,3184,3135,3608,4216,4161,3901,4102,3938,4558,4928,4979,4882,11650,43,44.2,25805,2795,1788,2822,2486,2823,3967,2869,3735,1151,1369,51314,71041
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,MN24,42742,2499,1667,1200,1236,3921,5354,4943,4284,3423,2768,2455,2517,2248,4227,36,73.5,19761,1416,555,1182,821,1159,2012,1492,2814,2020,6290,118931,235533
Soundview-Bruckner,Bronx,BX55,35634,2903,2699,2740,2979,3033,2886,2601,2404,2432,2339,2109,1777,1525,3207,31,95.9,11340,1788,1139,1920,1317,1605,1738,759,755,199,120,30681,43671
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,BX09,53686,3492,3761,4304,5123,4187,3358,3188,3294,3687,3762,3384,2916,2825,6405,34,44.8,18834,2708,1647,2674,2167,2444,2730,1693,1932,535,304,36129,52098
South Jamaica,Queens,QN01,38894,2613,2818,3019,3382,3108,2801,2514,2530,2776,2815,2666,2032,1669,4151,33,42.3,12048,1260,912,1288,1071,1702,2202,1721,1218,481,193,47732,59086
South Ozone Park,Queens,QN55,75878,4463,4701,5165,5908,6053,5473,5024,5287,6027,6242,5870,4678,3690,7297,36,40.4,22416,1230,982,2229,2324,3172,4040,3006,3292,1259,882,57849,73655
Springfield Gardens North,Queens,QN02,25409,1422,1414,1542,1797,1656,1528,1570,1577,1831,1964,1895,1694,1659,3860,41,38.9,10266,629,494,1215,1120,1526,1879,1551,1260,446,146,51341,61997
Springfield Gardens South-Brookville,Queens,QN03,20132,1453,1337,1456,1567,1586,1497,1378,1270,1424,1591,1425,1098,953,2097,34,20.3,5832,201,245,191,386,511,1235,909,1364,588,202,79042,88502
Spuyten Duyvil-Kingsbridge,Bronx,BX29,30161,1807,1467,1312,1406,1901,2005,2258,2010,1956,1921,1945,1919,1976,6278,42,55.8,13182,768,679,1119,837,1595,2117,1783,2188,1024,1072,67534,92050
St. Albans,Queens,QN08,48593,2799,2943,3325,3825,3619,3098,2910,3012,3421,3935,3764,2929,2529,6484,38,27.3,15694,667,520,1359,1227,1860,2795,2437,3160,1024,645,69975,82026
Stapleton-Rosebank,Staten Island,SI37,26453,1827,1875,1822,1937,1970,1907,1938,1772,1860,1896,1912,1579,1227,2931,35,21.1,9370,911,420,1193,886,957,1284,1172,1427,762,358,56462,74260
Starrett City,Brooklyn,BK93,13354,634,656,795,910,844,736,742,689,743,789,830,756,805,3425,45,45.9,6322,1235,1015,757,498,1187,1007,336,201,28,58,27397,38040
Steinway,Queens,QN72,47534,2249,1833,1773,1849,3529,6395,5404,4045,3409,2980,2939,2469,2190,6470,36,36.8,19936,1354,766,1790,1627,2492,4171,2427,3249,1286,774,60618,75776
Stuyvesant Heights,Brooklyn,BK35,63504,4290,4158,4424,4987,5316,5466,4908,4371,4511,4736,4172,3304,2739,6122,33,88.1,24825,4314,2240,3013,2425,3078,3385,2368,2476,837,689,37082,54363
Stuyvesant Town-Cooper Village,Manhattan,MN50,21049,794,557,493,449,2856,3138,1718,1124,1111,1206,1222,1365,1290,3726,37,158.4,10414,747,513,460,484,742,893,1708,2159,1117,1591,95022,113165
Sunset Park East,Brooklyn,BK34,72340,5949,5172,4362,4832,6323,7374,6586,5682,4889,4835,4311,3606,2757,5662,32,116.3,20290,2037,1824,3572,2550,3340,3111,1926,1221,482,227,35636,47759
Sunset Park West,Brooklyn,BK32,54041,3841,3381,3054,3531,5003,6214,5385,4442,3935,3441,2959,2439,2068,4348,32,43.8,16697,1601,1072,2057,2111,2330,2859,1600,1972,539,556,44165,61435
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,SI24,30714,1498,1595,1818,1962,1821,1802,1754,1835,2103,2239,2374,2354,2234,5325,43,7.3,11300,432,401,604,813,1279,1799,1397,2346,1162,1067,80761,109101
Turtle Bay-East Midtown,Manhattan,MN19,51231,1849,1076,761,993,3523,6966,5430,4026,3284,3092,3159,3463,3691,9918,41,124.7,29006,1382,529,1664,932,1975,3140,3345,5214,2669,8156,113998,196721
University Heights-Morris Heights,Bronx,BX36,54188,4350,4300,4348,5154,4757,4164,3694,3408,3789,3983,3566,2805,2147,3723,30,111.9,18103,4014,2060,2957,2468,2550,2295,1024,556,163,16,25073,33652
Upper East Side-Carnegie Hill,Manhattan,MN40,61207,3174,3136,3003,2277,2339,3690,3537,3637,4186,4142,4214,4172,4943,14757,47,132.9,28745,1240,270,1105,998,1229,2623,2549,4076,2709,11946,155213,311109
Upper West Side,Manhattan,MN12,132378,7197,5482,4817,4338,6600,11971,11292,10406,10004,9557,9393,9469,9283,22569,42,167.3,66482,5054,2829,4048,3912,5523,7655,6109,9962,6359,15031,92268,161302
Van Cortlandt Village,Bronx,BX28,50100,3583,3176,3315,3987,4029,3991,3592,3314,3519,3675,3291,2995,2333,5300,34,98.9,17359,2119,1306,1952,2227,2543,3467,1919,1276,431,119,40669,50900
Van Nest-Morris Park-Westchester Square,Bronx,BX37,29250,2057,2072,2092,2204,2141,2242,2240,2046,2139,2057,1919,1559,1264,3218,34,35.3,9626,921,650,1165,1118,1368,1815,957,1250,245,137,44588,57782
Washington Heights North,Manhattan,MN35,67136,3875,3278,3411,4208,6501,5997,5213,4761,4704,4457,4469,4142,3523,8597,36,127.7,25647,2673,1600,3078,2385,3046,4527,3311,2941,921,1165,50192,67541
Washington Heights South,Manhattan,MN36,84438,4501,4022,4486,5888,8377,8417,6680,5610,5646,5650,5474,5088,4316,10283,35,158.4,29028,3818,2542,3958,3767,3796,4915,2680,2218,606,728,36518,52338
West Brighton,Brooklyn,BK23,17750,506,485,507,575,798,863,810,875,838,1090,1266,1506,2109,5522,56,88.2,8116,1115,917,1187,539,1142,1257,629,810,409,111,38047,53608
West Concourse,Bronx,BX63,39282,3357,3070,3043,3384,3369,3082,2950,2793,2819,2716,2406,1934,1597,2762,31,89.9,12621,2187,1677,1932,1837,1914,1728,691,518,120,17,27637,36440
West Farms-Bronx River,Bronx,BX08,35011,2751,2635,2561,3049,2954,2883,2578,2387,2326,2415,2121,1677,1361,3313,31,101.6,11675,2060,1212,1922,1332,1489,1446,965,926,194,129,29382,44247
West New Brighton-New Brighton-St. George,Staten Island,SI22,33551,2491,2523,2407,2732,2470,2405,2419,2288,2331,2497,2325,1975,1548,3140,34,23.9,11828,1801,804,1279,936,1220,1712,1469,1530,687,390,48439,64533
West Village,Manhattan,MN23,66880,2219,1568,1054,3795,5313,9747,8103,5865,4637,4244,3938,3900,3798,8699,36,114.6,37601,1697,866,1820,1724,2395,4712,3923,5915,4345,10204,112689,180247
Westchester-Unionport,Bronx,BX59,27248,1927,1907,2029,2128,2160,2092,1979,1912,1951,1938,1774,1427,1247,2777,33,49.2,8875,1111,562,1194,854,1128,1633,1058,910,200,225,45536,56201
Westerleigh,Staten Island,SI07,24102,1390,1436,1473,1520,1340,1438,1508,1577,1739,1883,1912,1651,1461,3774,41,16.6,9170,493,244,711,414,744,1602,1322,2030,905,705,82128,96344
Whitestone,Queens,QN49,30773,1554,1564,1682,1627,1580,1710,1940,1972,2221,2278,2219,2173,2143,6110,44,19.4,11472,416,303,943,813,983,1964,1415,2664,1021,950,80546,99025
Williamsbridge-Olinville,Bronx,BX44,61321,4539,4593,4532,5083,4598,4363,4026,3773,4348,4521,4121,3390,2790,6644,34,73.6,20715,3086,1369,2721,2287,2944,3722,2063,1847,457,219,39178,49987
Williamsburg,Brooklyn,BK72,32926,5637,4081,3517,3404,3019,2397,1613,1246,951,1037,1235,1478,1125,2186,20,123.7,8328,1516,1490,1630,1052,811,935,395,312,48,139,21502,36448
Windsor Terrace,Brooklyn,BK40,20988,1447,1054,878,759,1105,1971,2211,2174,1701,1467,1420,1265,1038,2498,37,65.1,9372,515,421,546,682,691,1443,1329,1977,733,1035,82297,102796
Woodhaven,Queens,QN53,56674,3641,3642,3983,4395,4584,4392,4138,4170,4367,4388,3962,3270,2621,5121,35,66.4,17286,984,668,1756,1462,2214,3284,2413,2532,1116,857,61804,77846
Woodlawn-Wakefield,Bronx,BX62,42483,2562,2550,2833,3046,3054,3338,2837,2826,3106,3166,3049,2529,2223,5364,37,47.1,15000,1296,820,1388,1463,1823,2676,2289,2074,819,352,55443,67014
Woodside,Queens,QN63,45099,2415,2265,2105,2274,3328,4488,4401,3835,3514,3270,3100,2537,2146,5421,37,69.5,16010,969,699,1715,1800,2694,2923,1994,2097,640,479,50952,66068
Yorkville,Manhattan,MN32,77942,3751,2633,2152,1849,5375,11411,9299,6436,5487,4788,4592,4608,4624,10937,37,244.2,44191,2080,1280,3186,1972,2958,5628,5234,7652,4127,10074,98840,151203
