year,geography,total_households,"$9,999_or_less","$10,000_to_$14,999","$15,000_to_$24,999","$25,000_to_$34,999","$35,000_to_$49,999","$50,000_to_$74,999","$75,000_to_$99,999","$100,000_to_$150,000","$150,000_to_$199,999","$200,000_or_more",median_household_income,mean_household_income,mean_earnings,mean_soc_sec,mean_ret_income,mean_supp_sec_income,mean_cash_pub_income,food_stamp_benefits,population,pop_w_health_insurance,pop_w_private_health,pop_w_public_coverage,pop_no_health_insurance
2014,"Ontario County, New York",44198,1627,1820,4871,4842,5822,9082,6008,6463,1985,1678,57318,73918,73023,18996,22531,9651,4264,4300,107948,99444,81790,34018,8504
2014,"Orange County, New York",124901,6479,4960,10586,9280,13270,21028,16846,23534,10737,8181,70794,88441,88992,18955,29183,10098,4524,13501,364531,331636,262058,109014,32895
2014,"Orleans County, New York",15894,1055,910,2133,1847,2299,3289,1965,1834,406,156,48015,57666,58526,17742,19283,9730,2886,2722,39716,35885,27309,15610,3831
2014,"Oswego County, New York",45300,3672,2485,5234,5439,6661,8170,5969,5381,1494,795,47646,60820,62681,17840,20615,9327,3956,7435,120822,110567,80331,46563,10255
2014,"Otsego County, New York",23798,1701,1521,2870,2850,3293,4911,2772,2619,717,544,47884,61290,59595,17485,23996,9496,2765,2741,61121,55971,43443,21481,5150
2014,"Putnam County, New York",34164,952,721,1912,2431,2540,4654,4466,7819,4005,4664,96262,116931,115427,21384,31663,10924,7696,1312,99059,90477,81083,20941,8582
2014,"Queens County, New York",780069,55668,36557,79713,72083,99314,140122,101851,114378,47036,33347,57210,74140,77315,16746,23430,8858,4249,111533,2265741,1879320,1223091,828469,386421
2014,"Rensselaer County, New York",63995,3790,3216,5800,5690,8430,11949,8995,10449,3624,2052,60140,74105,74880,17827,27957,9649,3462,7964,157653,147512,119513,49535,10141
2014,"Richmond County, New York",165079,11241,6381,13051,11721,15934,25193,22729,31191,15978,11660,74043,90681,95789,18824,30650,9605,4238,20276,467332,431821,331279,143154,35511
2014,"Rockland County, New York",98394,3851,4018,7492,5860,8936,13277,12868,18763,10657,12672,85808,109174,108003,21064,34168,9734,5352,10107,315547,285538,214343,106250,30009
2014,"St. Lawrence County, New York",41579,3640,2829,5373,4953,5928,7891,5039,3920,1149,857,44454,58928,59581,17247,21891,9309,4498,6777,108424,96381,72525,39251,12043
2014,"Saratoga County, New York",89876,3135,3172,6475,7413,10240,17151,13247,17629,6255,5159,70581,87334,88082,19443,26788,9999,3621,6876,219154,206654,180759,56667,12500
2014,"Schenectady County, New York",57846,3607,3200,6040,5328,7228,11304,7858,8487,2855,1939,57025,71184,72883,18537,25901,9734,4305,7488,153498,141410,109929,52746,12088
2014,"Schoharie County, New York",12739,753,845,1406,1270,1900,2472,1821,1529,413,330,51873,64152,64768,17310,24383,10294,2544,1535,31996,29604,23025,11865,2392
2014,"Schuyler County, New York",7759,409,517,904,818,1287,1701,916,961,200,46,49225,58511,59078,17661,18356,10105,3374,885,18061,16114,11935,6694,1947
2014,"Seneca County, New York",13485,806,799,1951,1342,1988,2493,1892,1632,391,191,48932,60595,60784,16625,20379,9486,2878,1477,32473,28856,23008,11147,3617
2014,"Steuben County, New York",41285,2955,2706,4670,4826,6465,8238,4962,4367,1269,827,47733,61179,63097,17865,20708,9389,4086,5588,97742,87218,65259,37283,10524
2014,"Suffolk County, New York",496780,16790,13316,30568,29885,45012,74395,68676,105649,56249,56240,88323,109783,110674,20222,32484,10882,5078,31017,1485692,1347791,1152940,376945,137901
2014,"Sullivan County, New York",28954,2227,1861,3512,2862,4153,5804,3598,3029,1043,865,49388,63971,64444,17790,24268,9525,4451,4147,74778,65226,44796,30571,9552
2014,"Tioga County, New York",20178,920,1146,2414,1968,2424,4350,2514,2757,1028,657,56167,71107,70652,19676,19983,9379,3452,2567,50089,45997,36960,16605,4092
2014,"Tompkins County, New York",38340,4151,2068,3595,3586,5086,6719,4384,4833,2036,1882,52836,72701,73792,18529,28526,9014,3522,3997,102302,96340,81811,25080,5962
2014,"Ulster County, New York",69388,3972,3642,7175,6734,8550,12465,9002,10468,3921,3459,58592,77548,76920,17836,25304,9222,4390,8226,177193,158870,124114,58753,18323
2014,"Warren County, New York",27699,1427,1663,2689,2845,3623,5716,3770,3783,1264,919,56601,71229,69736,18731,29215,10119,3500,3243,64758,59022,46928,23149,5736
2014,"Washington County, New York",24165,1214,1408,2882,2725,3572,5217,3399,2627,739,382,51494,61153,59356,18261,20868,8970,3869,3435,59768,53493,40906,22121,6275
2014,"Wayne County, New York",36479,1868,1699,4019,4880,5129,7249,5312,4491,1214,618,51597,63553,63930,18621,20461,9538,4152,4199,91654,83394,65971,30028,8260
2014,"Westchester County, New York",342956,16073,11804,24700,23728,32286,48107,38497,55756,32608,59397,83422,133325,136888,20451,33226,9234,4332,27852,948996,849582,700111,254450,99414
2014,"Wyoming County, New York",15691,686,714,1935,1754,2319,3413,2433,1883,385,169,53012,61921,60081,18118,20900,8939,2353,1536,37921,34942,28605,12260,2979
2014,"Yates County, New York",9642,526,648,1022,1106,1514,1883,1336,904,375,328,50061,66161,61185,18263,27070,8513,3326,1295,24892,20024,15193,8513,4868
2013,New York,7234743,562307,378465,724289,657882,859574,1201783,870855,1023910,447506,508172,58003,84432,88516,17510,25196,9159,4138,1050669,19231242,17087639,12719007,6474570,2143603
2013,"Albany County, New York",122700,7610,6212,11549,10993,15344,22384,16270,18878,8269,5191,59394,77687,79182,18165,28277,9360,4504,12510,301642,280516,235133,85332,21126
2013,"Allegany County, New York",18786,1341,1445,2522,2422,3208,3528,2169,1554,368,229,42445,53800,53287,17195,18130,9262,4235,3071,48126,43469,33781,16920,4657
2013,"Bronx County, New York",474842,75663,43202,67509,53803,63026,72212,43153,37298,11755,7221,34388,49421,55214,13639,19663,8614,3420,170807,1372985,1162772,593784,681198,210213
2013,"Broome County, New York",79763,6488,5076,10808,8801,11641,14942,8773,8396,2768,2070,45958,60570,61676,17763,21128,8979,4037,11360,196422,179439,137981,70361,16983
2013,"Cattaraugus County, New York",32246,2129,2373,4809,4074,5099,6316,3728,2753,522,443,42603,53652,53614,16620,18438,9013,3379,4794,78955,69643,53451,29473,9312
2013,"Cayuga County, New York",31311,1963,1518,3975,3210,4502,6390,4529,3632,1046,546,51581,62027,63712,17136,19592,9774,3188,3448,76299,68309,53206,26596,7990
2013,"Chautauqua County, New York",54863,5147,3697,7410,7061,8557,10265,6045,4642,1457,582,42429,53272,54056,16623,19662,9804,3769,9342,131390,119511,88657,51666,11879
2013,"Chemung County, New York",35622,2469,2277,5024,3896,4500,6986,4187,4135,1283,865,48804,62523,64875,17293,18675,9480,3832,5242,84682,77642,59439,31457,7040
2013,"Chenango County, New York",19829,1538,1258,2702,2398,3180,3931,2457,1682,457,226,43941,54569,56051,17028,16979,9241,3171,3125,49545,44768,32772,19582,4777
2013,"Clinton County, New York",31901,2179,2058,3719,3567,4329,6371,4008,3938,1085,647,50282,63087,63133,16975,21934,10664,3282,5119,77296,71811,57155,26569,5485
2013,"Columbia County, New York",25280,1258,1113,2593,2759,3456,4444,3277,3905,1278,1197,57336,80898,78360,18336,24944,9027,3637,2190,60733,55379,44494,20752,5354
2013,"Cortland County, New York",18069,1427,1045,1987,1992,3035,3439,2231,1811,856,246,47151,60268,60365,16392,18849,9081,3430,2524,48771,44932,36239,14947,3839
2013,"Delaware County, New York",19844,1356,1432,2826,2252,3116,3960,2365,2032,292,213,44470,55302,51889,17263,20219,8463,2724,2376,46899,42187,32793,17677,4712
2013,"Dutchess County, New York",107830,4486,4304,8291,8863,11175,18791,16042,19454,9137,7287,72525,90044,90148,19463,26777,9955,4563,9003,289540,263297,224450,76061,26243
2013,"Erie County, New York",380152,32420,21941,43959,39201,50324,70062,47655,46815,15756,12019,50653,66095,69825,17537,21224,9417,3728,57751,907174,845295,663682,314013,61879
2013,"Essex County, New York",15919,833,822,1818,2040,2781,3220,1836,1686,569,314,47380,63672,60138,17999,21758,10160,3456,1574,36784,33166,25974,13851,3618
2013,"Franklin County, New York",19238,1767,1389,2495,2100,2716,3584,2558,1973,338,318,45667,56804,58460,16568,22821,8834,3954,3115,46465,40932,30030,17564,5533
2013,"Fulton County, New York",22611,1872,1355,2897,2753,3571,4276,2402,2606,477,402,44276,57365,58605,16610,20923,8876,3237,3545,53975,48254,34924,21839,5721
2013,"Genesee County, New York",23884,1382,1191,2684,2966,3735,4763,3248,2780,743,392,49922,62861,61677,18044,20740,9998,4149,2483,59159,54158,43836,19062,5001
2013,"Greene County, New York",18365,1117,1099,2296,2001,2738,3427,2181,2471,566,469,49655,65010,67802,17760,25376,10265,5253,1790,45759,41602,32596,16314,4157
2013,"Hamilton County, New York",1854,89,80,203,229,298,382,239,224,56,54,51522,64240,61772,18749,27069,11662,5109,83,4792,4426,3806,1679,366
2013,"Herkimer County, New York",26815,1924,2024,3310,3129,4312,5295,3513,2399,519,390,45047,55883,56998,16319,18023,8645,4338,4653,63684,57562,41852,25323,6122
2013,"Jefferson County, New York",45011,3215,2576,5201,5552,7589,9102,5386,4471,1165,754,46484,58157,58030,16162,21012,9247,3860,7297,106409,96336,73759,36899,10073
2013,"Kings County, New York",916025,107752,63646,106524,91222,115387,147271,94429,106334,42861,40599,46085,67629,74957,14778,21317,9053,4407,213576,2528852,2182679,1300329,1059425,346173
2013,"Lewis County, New York",10677,739,484,1311,1344,1838,2217,1256,1153,212,123,46840,57419,59751,17235,18768,10019,2993,1752,26759,23729,18535,9053,3030
2013,"Livingston County, New York",24092,1577,1279,2494,2458,3325,4834,3717,3282,730,396,53518,63155,64201,17951,22869,10046,3312,2711,62529,58284,48953,18289,4245
2013,"Madison County, New York",26565,1603,1256,2749,2598,4200,5410,3708,3391,944,706,53589,66249,67569,17825,21799,9836,5138,2884,72086,66895,54972,21533,5191
2013,"Monroe County, New York",297040,24179,14874,31384,30766,40905,53124,38937,38132,13496,11243,52394,70190,72575,18364,21069,9705,3958,40322,739092,686161,551235,235032,52931
2013,"Montgomery County, New York",19703,1530,1445,2675,2179,2963,3768,2324,2057,478,284,44156,57380,57276,16553,20447,9586,4202,3485,49238,43835,31327,19796,5403
2013,"Nassau County, New York",441955,13089,10347,26056,24646,36629,59428,55651,91468,54182,70459,97690,126127,126331,20447,32256,10949,5684,20897,1333255,1213251,1059554,316729,120004
2013,"New York County, New York",736192,71021,39554,62625,52728,64540,95337,71298,96875,54475,127739,69659,130490,138811,16436,30560,8363,4193,98037,1593855,1425463,1065865,490689,168392
2013,"Niagara County, New York",88376,6394,5466,11164,10213,12295,16903,10367,10764,3125,1685,47955,61729,64795,17655,19956,9094,4420,12798,213144,196795,157502,76109,16349
2013,"Oneida County, New York",91075,7196,5379,11184,10247,12553,17611,11040,10454,3129,2282,48729,62437,64742,16427,21908,8767,3848,14744,225256,208777,155051,88584,16479
2013,"Onondaga County, New York",184855,14367,10241,19403,18456,23519,34501,22973,25993,8616,6786,54242,70478,73824,18017,22548,9427,3519,24505,461833,422666,339971,145352,39167
2013,"Ontario County, New York",43794,1747,1799,4576,4685,6177,8992,5955,6312,1874,1677,56479,73446,71772,18361,21981,9658,4198,4038,107310,98380,82575,32415,8930
2013,"Orange County, New York",125317,6084,5228,10346,9853,13476,21024,17043,23443,10676,8144,70458,88290,88262,18428,28824,9329,4532,12987,363363,327287,261323,104730,36076
2013,"Orleans County, New York",15725,860,860,2138,1866,2341,3223,2060,1752,416,209,48502,58931,58773,17888,19383,10742,2505,2498,39875,35847,27744,15491,4028
2013,"Oswego County, New York",45325,3718,2353,5401,5406,6526,8590,6096,5039,1395,801,48051,60258,62050,17248,19872,9040,3982,7034,120886,110398,82735,44644,10488
2013,"Otsego County, New York",24078,1651,1477,3014,2939,3431,5008,2913,2470,583,592,47765,60649,57786,17104,23759,9247,2657,2395,61373,56177,44397,20817,5196
2013,"Putnam County, New York",34496,970,743,1990,2316,2724,4791,4576,7831,4187,4368,95117,114442,114472,20639,29639,11159,6327,1319,99074,90231,81656,20190,8843
2013,"Queens County, New York",778630,55427,35532,79166,74033,100085,140552,102727,113541,44819,32748,57001,73521,76549,16382,23023,8628,4328,107383,2241483,1847986,1218816,802847,393497
2013,"Rensselaer County, New York",64242,4055,3190,5722,5940,8387,12026,8810,10377,3512,2223,59432,73410,73590,17447,27806,9134,3419,7387,157608,147318,120700,47977,10290
2013,"Richmond County, New York",164609,10804,6162,12876,12412,16536,25879,22692,30437,15483,11328,72569,89552,94037,18469,30559,9488,4277,19136,465584,428835,331832,138980,36749
2013,"Rockland County, New York",98326,3884,3747,7545,6036,8569,13910,12766,18898,10910,12061,84951,108126,107318,20536,33893,10137,5277,9548,312352,280843,216134,99296,31509
2013,"St. Lawrence County, New York",41839,3829,2698,5405,5170,6249,8058,4640,4066,1025,699,43647,57017,57467,16840,20850,9277,4317,6490,108517,95680,72034,38748,12837
2013,"Saratoga County, New York",88460,3188,3458,6519,7269,9774,17107,13239,16944,6026,4936,69826,86514,88014,19097,26186,9846,3195,6150,217839,203911,180992,53152,13928
2013,"Schenectady County, New York",58059,3591,3211,6251,5157,7617,11344,7885,8199,2962,1842,56061,70104,71801,17962,24467,9613,4639,6619,153141,140340,111322,50806,12801
2013,"Schoharie County, New York",12820,649,914,1406,1264,1778,2713,1684,1594,484,334,53245,65597,65283,17231,23318,10150,2855,1431,32205,29495,23476,11390,2710
2013,"Schuyler County, New York",7684,361,504,1026,918,1241,1716,783,885,164,86,46976,57460,58115,16976,17446,10295,3424,793,17980,15550,11821,6344,2430
2013,"Seneca County, New York",13429,929,795,1696,1543,2086,2556,1707,1606,313,198,47618,58883,59817,16261,20322,9046,2727,1438,32627,28797,23330,10615,3830
2013,"Steuben County, New York",41503,2852,2528,4848,4990,6697,8291,4821,4362,1289,825,47476,60649,62456,17438,20195,9315,3907,5244,97771,86866,66446,35831,10905
2013,"Suffolk County, New York",497347,15940,13124,30662,30183,45389,74974,71080,106871,55179,53945,87763,108316,109182,19824,31408,10554,5364,28132,1481777,1337029,1158121,359666,144748
2013,"Sullivan County, New York",29531,2281,1948,3779,3022,4367,5625,3541,3145,998,825,48089,62802,62541,17684,22685,8735,4354,3855,75055,64867,45162,29107,10188
2013,"Tioga County, New York",20202,926,1088,2440,2129,2316,4615,2745,2616,838,489,55726,67843,66434,18597,20435,9341,3658,2311,50409,45875,37282,16038,4534
2013,"Tompkins County, New York",38409,3982,2224,3749,3676,5214,6804,4134,4865,1907,1854,51393,71456,71647,18126,27629,8793,3647,3844,101379,94736,81827,23593,6643
2013,"Ulster County, New York",69862,3812,3237,7235,6637,8871,13333,9487,10023,3888,3339,58590,76828,75180,17482,25106,9293,3987,7496,177543,157377,124966,56014,20166
2013,"Warren County, New York",28081,1313,1456,2910,3261,3615,5814,3775,3727,1316,894,55904,70421,69096,18154,27486,9699,3558,2918,64893,58542,47513,21793,6351
2013,"Washington County, New York",24499,1100,1490,2962,2799,3466,5260,3718,2548,758,398,52361,61970,60399,17746,20448,7946,3229,3387,59926,53475,41052,21862,6451
2013,"Wayne County, New York",36399,1830,1780,3942,4175,5644,7397,5359,4518,1218,536,52601,63443,63206,18392,19780,9312,3419,4073,91943,83212,67157,28974,8731
2013,"Westchester County, New York",343561,16021,12033,25692,24359,32652,48439,38972,55701,31661,58031,81946,130829,134273,20049,31958,9188,4421,27083,943002,839733,697191,247227,103269
2013,"Wyoming County, New York",15624,786,825,1720,1808,2526,3337,2243,1922,332,125,51100,59649,58457,18170,20346,8528,2788,1446,38063,34733,28893,11834,3330
2013,"Yates County, New York",9602,597,603,1117,1117,1434,1931,1452,780,283,288,49335,63666,59004,17699,25848,8432,3125,1321,24879,20178,15422,8463,4701
2012,New York,7230896,567084,377358,716307,660788,871103,1223080,869969,1018288,436257,490662,57683,83578,87428,17084,24625,8973,4065,976011,19138275,16976458,12827926,6271134,2161817
2012,"Albany County, New York",122674,8523,5858,11014,10729,15667,22688,16141,18899,8044,5111,59359,76707,77753,17920,27576,9381,4456,11529,300805,279221,236791,82312,21584
2012,"Allegany County, New York",18843,1387,1417,2572,2405,3296,3612,2014,1576,358,206,42095,52876,52865,16604,17930,9400,4137,2920,48360,43823,34109,16883,4537
2012,"Bronx County, New York",473281,76326,42378,67776,53268,64292,72626,42034,36248,11520,6813,34300,48852,54628,13386,18935,8450,3388,159860,1361525,1144516,595509,661060,217009
2012,"Broome County, New York",80223,6710,4889,10635,9006,11942,14923,8903,8503,2738,1974,45856,60319,62236,17080,19969,8876,3919,10586,197130,178973,140469,67678,18157
2012,"Cattaraugus County, New York",32419,2255,2287,4754,3832,5351,6710,3816,2538,490,386,43202,53029,52582,16492,17640,8734,3727,4363,79333,69857,54917,28046,9476
2012,"Cayuga County, New York",31427,1878,1637,3932,3355,4536,6678,4468,3640,864,439,50950,61144,62421,16465,19319,9546,3144,3394,76272,68012,53287,25974,8260
2012,"Chautauqua County, New York",54950,4996,4173,7650,6757,8659,10140,5963,4758,1301,553,41975,52340,53868,16169,18181,9446,3650,8658,131857,119763,90110,50907,12094
2012,"Chemung County, New York",35452,2576,2303,4725,4263,4431,7302,4041,4069,976,766,48128,60180,62550,16708,18338,8984,3544,4999,84522,77464,59933,30744,7058
2012,"Chenango County, New York",19779,1429,1259,2661,2323,3313,3871,2496,1694,433,300,44127,56918,58011,16994,16517,9498,2833,2772,49843,44535,32862,19202,5308
2012,"Clinton County, New York",31820,2306,2014,3640,3472,4367,6406,3982,3963,1050,620,50522,62559,63122,16518,20956,9605,3828,4724,77496,71887,58493,25259,5609
2012,"Columbia County, New York",25476,1160,1166,2729,2626,3672,4580,3326,3995,1110,1112,56445,79555,76963,17245,22942,8813,3686,1968,60822,54920,45313,19377,5902
2012,"Cortland County, New York",17809,1480,1072,1914,1887,2993,3489,2196,1784,741,253,47497,59844,60478,15803,18682,9308,3442,2387,48955,44841,36039,14945,4114
2012,"Delaware County, New York",19920,1448,1460,2726,2454,3094,4010,2422,1820,296,190,43004,53213,51349,16962,20414,8236,3264,2025,47259,42420,32954,17728,4839
2012,"Dutchess County, New York",107734,5180,4094,8051,8514,11593,18978,15847,19947,8501,7029,71508,88894,88919,18690,26119,9456,4352,8104,289408,262377,226060,73803,27031
2012,"Erie County, New York",379980,32723,21971,44403,40116,50850,69160,47115,47177,14690,11775,49977,65577,68766,17164,20777,9345,3648,53274,906922,844678,673278,306968,62244
2012,"Essex County, New York",16198,839,904,1968,1957,2858,3407,1853,1574,575,263,47400,61571,58541,17347,20158,11148,2931,1436,36809,33249,26441,13101,3560
2012,"Franklin County, New York",19170,1605,1324,2510,2281,2698,3561,2552,2032,303,304,45702,57039,59169,16114,22034,8882,4838,2773,46344,40844,30857,16743,5500
2012,"Fulton County, New York",22511,1862,1427,2805,2605,3553,4535,2748,2289,372,315,45333,56907,57256,16259,19540,8825,3213,3410,54028,48624,35175,22133,5404
2012,"Genesee County, New York",23962,1485,1251,2466,2767,3575,5083,3466,2728,813,328,51734,63108,62419,17637,20176,9524,3526,2223,59176,53903,44518,17888,5273
2012,"Greene County, New York",18411,1184,1061,2455,2221,2879,3390,2300,2075,526,320,47539,60810,64155,17048,23233,10655,4862,1714,45861,41105,32479,15934,4756
2012,"Hamilton County, New York",2134,111,83,234,255,347,445,259,257,78,65,51595,63883,63205,17670,24240,10924,3018,74,4822,4486,3864,1646,336
2012,"Herkimer County, New York",26775,1965,2045,3367,3334,4098,5292,3357,2278,636,403,44288,55286,57143,15755,16923,8489,4323,4447,63698,57115,42257,24524,6583
2012,"Jefferson County, New York",45162,3218,2684,5267,5450,7591,9277,5492,4377,1152,654,46549,57573,56995,15901,20711,8931,4450,6634,105375,95386,73576,36168,9989
2012,"Kings County, New York",911995,108525,63301,105235,93794,118078,148884,92693,102790,41211,37484,45215,65770,72916,14618,20288,8826,4173,200218,2501588,2156672,1319130,1022376,344916
2012,"Lewis County, New York",10657,754,488,1354,1404,1845,2229,1253,1019,192,119,45187,55350,57551,16593,17994,9582,2961,1552,26704,23828,19077,8703,2876
2012,"Livingston County, New York",24127,1532,1219,2418,2413,3340,5154,3823,3179,709,340,54244,63205,63509,17537,22148,10520,3470,2379,62579,58490,50276,17225,4089
2012,"Madison County, New York",26613,1652,1393,2597,2720,4342,5544,3821,2975,897,672,52293,64644,65295,17173,21017,9939,6079,2529,72121,65965,55022,20799,6156
2012,"Monroe County, New York",294726,24206,14620,30725,31316,39936,53575,39274,37637,12533,10904,52700,69478,71626,17874,21586,9541,3929,37063,737073,685507,558231,228434,51566
2012,"Montgomery County, New York",19898,1710,1316,2651,2365,3052,3674,2384,1943,575,228,42830,56185,56725,15653,18771,8401,4781,3343,49232,43727,31832,19412,5505
2012,"Nassau County, New York",442869,13651,10567,24697,24627,36650,60979,56223,92925,54818,67732,97049,125304,125135,19913,32085,10509,5848,19181,1328101,1210845,1066024,308568,117256
2012,"New York County, New York",738131,72833,39952,62186,53255,64788,99665,71268,96146,52921,125117,68370,128721,136682,16045,29496,8206,4040,94564,1585534,1412744,1063704,482773,172790
2012,"Niagara County, New York",88542,6447,5399,11253,10048,12727,17130,10373,10600,2990,1575,47736,60824,63563,17165,19272,9030,4420,11812,213482,196259,159945,73551,17223
2012,"Oneida County, New York",91500,7372,5376,11143,9768,12783,18059,11022,10828,3077,2072,49148,62353,64488,16214,21629,8572,3489,13636,225102,207794,158102,85088,17308
2012,"Onondaga County, New York",185036,14098,10361,19467,18577,24417,34336,22372,26737,8170,6501,53593,70000,73392,17668,22034,8999,3479,22614,460883,420822,342307,141029,40061
2012,"Ontario County, New York",43822,1695,2058,4596,4597,6321,9029,5861,6347,1821,1497,56455,71972,70328,17829,21897,9810,4239,3579,106714,98106,83862,30743,8608
2012,"Orange County, New York",125180,5595,5541,9665,9892,13383,21516,17295,24289,10442,7562,70712,87796,88060,17990,27426,8998,4734,11413,362027,324338,263248,100216,37689
2012,"Orleans County, New York",15871,758,1071,1762,1850,2475,3461,2140,1876,318,160,50113,58571,56925,17766,19875,10267,3222,2284,40206,35817,28633,14398,4389
2012,"Oswego County, New York",45753,3827,2386,5380,5370,7055,9133,5679,5028,1263,632,47288,59037,60490,16561,19355,8850,3860,6598,121074,111025,83678,43707,10049
2012,"Otsego County, New York",24541,1893,1447,3044,3098,3643,5051,2731,2528,573,533,46358,59288,56271,16604,23007,9151,2710,2203,61509,56376,44718,20737,5133
2012,"Putnam County, New York",35088,924,770,1906,2316,3051,4647,4865,8039,4118,4452,95259,114431,114219,20000,27885,10489,7593,1173,99107,90317,82897,18948,8790
2012,"Queens County, New York",776311,54960,35641,77864,75265,100991,142415,101352,112771,43689,31363,56780,72891,75820,15967,22266,8576,4213,99728,2219993,1829346,1229222,776810,390647
2012,"Rensselaer County, New York",63952,3941,3049,5975,6080,7991,12378,8793,10323,3371,2051,58959,72644,72972,16987,26127,9106,3132,6497,157432,146362,122152,45571,11070
2012,"Richmond County, New York",163675,10360,6523,12210,11848,16632,25836,24012,30585,14733,10936,73496,89078,92794,18039,30323,9337,4022,17518,463278,427811,335972,135400,35467
2012,"Rockland County, New York",98401,3778,3224,7430,6185,8662,13985,12874,19027,11302,11934,86020,108975,108923,19860,33267,10472,5632,8461,309216,277954,219279,92590,31262
2012,"St. Lawrence County, New York",42076,3835,2783,5614,5030,6320,8020,4787,3927,1150,610,43745,56216,56702,16315,20745,9075,4571,6234,108388,96160,72668,38703,12228
2012,"Saratoga County, New York",87952,3205,3285,6688,7273,10084,17784,13428,16361,5584,4260,67712,83668,84754,18655,26180,9726,2885,5278,216481,201621,180776,50231,14860
2012,"Schenectady County, New York",58263,3500,3212,6133,5557,7328,11864,7991,8117,2677,1884,56445,69891,71261,17652,23423,9701,4881,5795,152758,139276,112715,48129,13482
2012,"Schoharie County, New York",12627,768,941,1230,1251,1918,2558,1716,1526,464,255,51896,63464,63529,16618,21758,10186,3009,1426,32346,29425,23772,11037,2921
2012,"Schuyler County, New York",7570,306,480,912,977,1243,1720,778,960,105,89,47869,57703,58359,16435,17019,9861,3251,661,17987,15409,11852,6221,2578
2012,"Seneca County, New York",13400,800,721,1728,1636,1909,2749,1849,1513,357,138,49155,58646,58834,15655,20260,8258,3085,1193,32594,28369,23110,10408,4225
2012,"Steuben County, New York",41268,2862,2583,5191,4774,6814,8191,4548,4205,1327,773,46519,59271,60696,16855,19626,8844,4202,4789,97817,86917,67605,34925,10900
2012,"Suffolk County, New York",496349,15564,12207,29536,29352,45656,77436,71945,107773,54709,52171,87778,108149,108400,19372,31369,10412,5729,24513,1478905,1330161,1161917,345389,148744
2012,"Sullivan County, New York",29664,2259,1776,3883,3093,4339,5646,3823,2922,1042,881,48050,62120,62498,17387,23190,8994,4175,3478,75305,64821,46855,27446,10484
2012,"Tioga County, New York",20320,1008,1127,2228,1845,2626,4900,2805,2542,781,458,56488,67082,64896,17812,21466,8655,3290,2177,50698,46494,38401,15621,4204
2012,"Tompkins County, New York",38545,4105,2207,3756,3500,5558,6941,4058,4850,1940,1630,50539,69520,69462,17702,27212,9024,3719,3663,100691,94318,81709,23382,6373
2012,"Ulster County, New York",70274,3622,3255,7386,6612,8950,13402,9797,10407,3727,3116,58934,76629,75192,17100,24073,8935,4054,7325,177798,157835,125875,55281,19963
2012,"Warren County, New York",28515,1454,1577,2961,3281,3793,5828,4094,3419,1282,826,54909,68077,66951,17583,23478,9034,3579,2918,64967,58231,47764,21238,6736
2012,"Washington County, New York",24590,1075,1500,2980,2746,3806,5431,3582,2468,638,364,50864,60082,58026,17556,19772,8012,2517,3034,59699,53293,41652,20954,6406
2012,"Wayne County, New York",36646,1872,1794,3686,4036,5751,7605,5552,4585,1331,434,53497,63737,63100,17834,20399,9006,2853,3980,92128,83533,68611,27712,8595
2012,"Westchester County, New York",344875,16304,11928,25516,24443,33236,50820,38765,54217,31316,58330,81093,130808,133722,19428,31602,9044,4453,24408,937044,833458,700663,238933,103586
2012,"Wyoming County, New York",15633,840,838,1883,1639,2535,3375,2163,1930,318,112,50635,59093,58433,17594,19469,8112,3554,1345,38154,34715,29419,11333,3439
2012,"Yates County, New York",9531,548,685,1184,1078,1420,1967,1389,753,219,288,48245,62848,60037,16909,24484,8110,2951,1175,24938,20318,15960,8090,4620
2011,New York,7215687,569093,377349,714075,668253,882191,1233315,875786,1002264,421066,472295,56951,82698,86328,16581,23831,8697,3905,890240,NaN,NaN,NaN,NaN,NaN
2011,"Albany County, New York",123544,8564,6386,11323,10795,16672,22496,16304,18437,7376,5191,57715,75821,76922,17141,25823,9032,4573,10704,NaN,NaN,NaN,NaN,NaN
2011,"Allegany County, New York",18936,1486,1392,2627,2370,3349,3675,2003,1481,363,190,41900,51838,52417,15985,16985,9051,3996,2832,NaN,NaN,NaN,NaN,NaN
2011,"Bronx County, New York",471923,76119,41581,66050,53401,65614,73432,41983,36466,10788,6489,34744,48609,54141,13143,17943,8097,3354,147009,NaN,NaN,NaN,NaN,NaN
2011,"Broome County, New York",80257,6865,4996,10606,9093,11852,15082,9071,8161,2636,1895,45619,60123,62118,16572,18765,8555,4030,9256,NaN,NaN,NaN,NaN,NaN
2011,"Cattaraugus County, New York",32440,2420,2366,4591,3965,5298,6875,3751,2325,480,369,42754,52267,51985,15904,17458,8783,3249,4072,NaN,NaN,NaN,NaN,NaN
2011,"Cayuga County, New York",31807,1947,1616,4032,3618,4628,6707,4318,3706,787,448,50140,60133,61387,15821,18100,9032,3205,3151,NaN,NaN,NaN,NaN,NaN
2011,"Chautauqua County, New York",55499,5017,4171,7662,6988,8927,10565,6142,4432,1138,457,41432,51360,52321,15804,17581,8856,3440,7989,NaN,NaN,NaN,NaN,NaN
2011,"Chemung County, New York",35528,2826,2171,4949,4232,4820,7006,3983,3737,952,852,46589,60022,62482,16325,17911,9177,3474,4861,NaN,NaN,NaN,NaN,NaN
